"","orders_key","loc_key","date","pizza_key","dough_key","cheese_key","topping_key","quantity","profit","pizza_size","pizza_size_value","street","city_key","city","country","year","month"
"19",934,19,2018-11-19,42,62,72,82,2,75,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2018","11"
"20",1571,12,2020-07-22,43,63,73,83,3,41,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2020","07"
"21",1571,12,2020-07-22,43,63,73,83,3,41,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2020","07"
"22",1181,8,2017-03-15,44,64,74,84,4,27,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2017","03"
"23",1181,8,2017-03-15,44,64,74,84,4,27,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2017","03"
"24",1502,20,2017-02-15,45,65,75,85,2,81,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2017","02"
"25",332,2,2019-07-07,41,66,76,86,5,120,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2019","07"
"26",1332,11,2017-10-22,42,67,77,87,2,31,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2017","10"
"27",1332,11,2017-10-22,42,67,77,87,2,31,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2017","10"
"28",1822,6,2019-05-28,43,68,78,88,1,102,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2019","05"
"29",1822,6,2019-05-28,43,68,78,88,1,102,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2019","05"
"30",1091,12,2020-08-25,44,69,79,89,1,90,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2020","08"
"31",1091,12,2020-08-25,44,69,79,89,1,90,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2020","08"
"32",1189,10,2017-10-27,45,70,80,90,1,107,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2017","10"
"33",977,11,2021-08-31,41,61,71,81,4,99,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2021","08"
"34",977,11,2021-08-31,41,61,71,81,4,99,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","08"
"35",1797,19,2020-01-07,42,62,72,82,4,97,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2020","01"
"36",929,12,2017-12-20,43,63,73,83,4,52,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2017","12"
"37",929,12,2017-12-20,43,63,73,83,4,52,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2017","12"
"38",1168,8,2018-02-12,44,64,74,84,3,51,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2018","02"
"39",1168,8,2018-02-12,44,64,74,84,3,51,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2018","02"
"40",210,20,2018-07-10,45,65,75,85,3,70,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2018","07"
"41",752,2,2017-10-13,41,66,76,86,2,58,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2017","10"
"42",1559,11,2018-06-20,42,67,77,87,3,76,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2018","06"
"43",1559,11,2018-06-20,42,67,77,87,3,76,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2018","06"
"44",382,6,2020-06-11,43,68,78,88,3,68,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2020","06"
"45",382,6,2020-06-11,43,68,78,88,3,68,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2020","06"
"46",1192,12,2018-01-20,44,69,79,89,3,62,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","01"
"47",1192,12,2018-01-20,44,69,79,89,3,62,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2018","01"
"48",155,10,2019-09-02,45,70,80,90,1,33,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2019","09"
"49",1885,11,2021-04-25,41,61,71,81,2,64,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2021","04"
"50",1885,11,2021-04-25,41,61,71,81,2,64,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","04"
"51",957,19,2018-11-27,42,62,72,82,2,34,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2018","11"
"52",1898,12,2020-07-14,43,63,73,83,3,114,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2020","07"
"53",1898,12,2020-07-14,43,63,73,83,3,114,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2020","07"
"54",1989,8,2019-06-22,44,64,74,84,3,73,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2019","06"
"55",1989,8,2019-06-22,44,64,74,84,3,73,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2019","06"
"56",701,20,2017-07-14,45,65,75,85,1,55,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2017","07"
"57",803,2,2018-08-17,41,66,76,86,4,42,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2018","08"
"58",478,11,2021-02-02,42,67,77,87,4,44,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2021","02"
"59",478,11,2021-02-02,42,67,77,87,4,44,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","02"
"60",706,6,2017-03-21,43,68,78,88,5,93,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2017","03"
"61",706,6,2017-03-21,43,68,78,88,5,93,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2017","03"
"62",482,12,2018-12-04,44,69,79,89,2,31,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","12"
"63",482,12,2018-12-04,44,69,79,89,2,31,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2018","12"
"64",782,10,2021-01-04,45,70,80,90,1,119,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2021","01"
"65",1573,11,2018-06-22,41,61,71,81,4,109,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2018","06"
"66",1573,11,2018-06-22,41,61,71,81,4,109,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2018","06"
"67",438,19,2019-04-08,42,62,72,82,3,80,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2019","04"
"68",1820,12,2021-03-31,43,63,73,83,1,37,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2021","03"
"69",1820,12,2021-03-31,43,63,73,83,1,37,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2021","03"
"70",1986,8,2021-05-17,44,64,74,84,4,36,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2021","05"
"71",1986,8,2021-05-17,44,64,74,84,4,36,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2021","05"
"72",795,20,2021-05-31,45,65,75,85,3,98,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2021","05"
"73",883,2,2021-05-19,41,66,76,86,2,83,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2021","05"
"74",1997,11,2020-12-01,42,67,77,87,5,58,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2020","12"
"75",1997,11,2020-12-01,42,67,77,87,5,58,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2020","12"
"76",1552,6,2020-03-01,43,68,78,88,1,24,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2020","03"
"77",1552,6,2020-03-01,43,68,78,88,1,24,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2020","03"
"78",826,12,2020-06-24,44,69,79,89,4,64,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2020","06"
"79",826,12,2020-06-24,44,69,79,89,4,64,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2020","06"
"80",1468,10,2021-09-02,45,70,80,90,3,54,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2021","09"
"81",485,11,2020-09-04,41,61,71,81,1,46,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2020","09"
"82",485,11,2020-09-04,41,61,71,81,1,46,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2020","09"
"83",1405,19,2019-11-19,42,62,72,82,2,74,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2019","11"
"84",366,12,2018-08-18,43,63,73,83,5,89,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","08"
"85",366,12,2018-08-18,43,63,73,83,5,89,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2018","08"
"86",1699,8,2020-11-05,44,64,74,84,5,117,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2020","11"
"87",1699,8,2020-11-05,44,64,74,84,5,117,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2020","11"
"88",1164,20,2019-03-27,45,65,75,85,2,30,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2019","03"
"89",1694,2,2019-11-07,41,66,76,86,2,48,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2019","11"
"90",1532,11,2019-12-30,42,67,77,87,4,82,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2019","12"
"91",1532,11,2019-12-30,42,67,77,87,4,82,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2019","12"
"92",1796,6,2020-02-08,43,68,78,88,3,74,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2020","02"
"93",1796,6,2020-02-08,43,68,78,88,3,74,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2020","02"
"94",359,12,2018-02-13,44,69,79,89,1,105,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","02"
"95",359,12,2018-02-13,44,69,79,89,1,105,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2018","02"
"96",1845,10,2020-11-29,45,70,80,90,2,78,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2020","11"
"97",1713,11,2017-04-28,41,61,71,81,5,41,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2017","04"
"98",1713,11,2017-04-28,41,61,71,81,5,41,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2017","04"
"99",1007,19,2018-01-04,42,62,72,82,2,59,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2018","01"
"100",1150,12,2019-08-26,43,63,73,83,3,101,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2019","08"
"101",1150,12,2019-08-26,43,63,73,83,3,101,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2019","08"
"102",964,8,2017-07-24,44,64,74,84,4,31,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2017","07"
"103",964,8,2017-07-24,44,64,74,84,4,31,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2017","07"
"104",551,20,2020-08-29,45,65,75,85,4,82,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2020","08"
"105",1357,2,2018-02-23,41,66,76,86,3,103,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2018","02"
"106",1848,11,2020-05-29,42,67,77,87,3,24,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2020","05"
"107",1848,11,2020-05-29,42,67,77,87,3,24,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2020","05"
"108",930,6,2019-03-22,43,68,78,88,1,45,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2019","03"
"109",930,6,2019-03-22,43,68,78,88,1,45,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2019","03"
"110",327,12,2017-08-09,44,69,79,89,2,90,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2017","08"
"111",327,12,2017-08-09,44,69,79,89,2,90,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2017","08"
"112",221,10,2018-04-06,45,70,80,90,1,91,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2018","04"
"113",1668,11,2020-08-15,41,61,71,81,2,26,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2020","08"
"114",1668,11,2020-08-15,41,61,71,81,2,26,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2020","08"
"115",504,19,2019-10-30,42,62,72,82,1,83,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2019","10"
"116",447,12,2019-01-10,43,63,73,83,2,73,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2019","01"
"117",447,12,2019-01-10,43,63,73,83,2,73,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2019","01"
"118",1926,8,2018-10-22,44,64,74,84,3,70,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2018","10"
"119",1926,8,2018-10-22,44,64,74,84,3,70,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2018","10"
"120",1855,20,2018-10-19,45,65,75,85,3,85,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2018","10"
"121",1758,2,2017-05-18,41,66,76,86,2,85,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2017","05"
"122",1012,11,2021-10-01,42,67,77,87,4,67,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2021","10"
"123",1012,11,2021-10-01,42,67,77,87,4,67,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","10"
"124",1383,6,2019-06-21,43,68,78,88,2,39,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2019","06"
"125",1383,6,2019-06-21,43,68,78,88,2,39,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2019","06"
"126",842,12,2020-12-16,44,69,79,89,5,47,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2020","12"
"127",842,12,2020-12-16,44,69,79,89,5,47,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2020","12"
"128",1104,10,2019-07-29,45,70,80,90,4,34,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2019","07"
"129",1982,11,2021-10-04,41,61,71,81,3,56,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2021","10"
"130",1982,11,2021-10-04,41,61,71,81,3,56,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","10"
"131",323,19,2018-04-24,42,62,72,82,4,42,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2018","04"
"132",1874,12,2019-09-09,43,63,73,83,2,82,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2019","09"
"133",1874,12,2019-09-09,43,63,73,83,2,82,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2019","09"
"134",1343,8,2020-04-07,44,64,74,84,3,103,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2020","04"
"135",1343,8,2020-04-07,44,64,74,84,3,103,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2020","04"
"136",561,20,2018-05-19,45,65,75,85,5,95,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2018","05"
"137",906,2,2020-07-16,41,66,76,86,4,65,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2020","07"
"138",412,11,2019-01-12,42,67,77,87,2,76,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2019","01"
"139",412,11,2019-01-12,42,67,77,87,2,76,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2019","01"
"140",1922,6,2020-10-30,43,68,78,88,2,109,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2020","10"
"141",1922,6,2020-10-30,43,68,78,88,2,109,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2020","10"
"142",906,12,2018-02-01,44,69,79,89,3,108,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","02"
"143",906,12,2018-02-01,44,69,79,89,3,108,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2018","02"
"144",802,10,2021-06-24,45,70,80,90,5,62,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2021","06"
"145",297,11,2017-06-05,41,61,71,81,2,54,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2017","06"
"146",297,11,2017-06-05,41,61,71,81,2,54,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2017","06"
"147",428,19,2018-07-05,42,62,72,82,5,69,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2018","07"
"148",634,12,2018-03-24,43,63,73,83,1,66,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","03"
"149",634,12,2018-03-24,43,63,73,83,1,66,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2018","03"
"150",610,8,2021-03-14,44,64,74,84,4,63,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2021","03"
"151",610,8,2021-03-14,44,64,74,84,4,63,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2021","03"
"152",501,20,2017-02-22,45,65,75,85,5,116,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2017","02"
"153",738,2,2017-09-16,41,66,76,86,3,80,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2017","09"
"154",1477,11,2017-05-27,42,67,77,87,1,56,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2017","05"
"155",1477,11,2017-05-27,42,67,77,87,1,56,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2017","05"
"156",726,6,2017-10-17,43,68,78,88,2,59,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2017","10"
"157",726,6,2017-10-17,43,68,78,88,2,59,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2017","10"
"158",671,12,2018-05-28,44,69,79,89,4,112,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","05"
"159",671,12,2018-05-28,44,69,79,89,4,112,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2018","05"
"160",829,10,2018-01-11,45,70,80,90,2,79,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2018","01"
"161",461,11,2021-03-08,41,61,71,81,1,74,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2021","03"
"162",461,11,2021-03-08,41,61,71,81,1,74,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","03"
"163",1803,19,2017-09-07,42,62,72,82,1,112,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2017","09"
"164",1965,12,2018-08-25,43,63,73,83,1,30,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","08"
"165",1965,12,2018-08-25,43,63,73,83,1,30,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2018","08"
"166",1524,8,2020-07-25,44,64,74,84,3,66,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2020","07"
"167",1524,8,2020-07-25,44,64,74,84,3,66,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2020","07"
"168",322,20,2019-04-07,45,65,75,85,4,35,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2019","04"
"169",1152,2,2020-01-16,41,66,76,86,2,27,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2020","01"
"170",1658,11,2019-07-09,42,67,77,87,2,34,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2019","07"
"171",1658,11,2019-07-09,42,67,77,87,2,34,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2019","07"
"172",167,6,2018-05-25,43,68,78,88,4,107,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2018","05"
"173",167,6,2018-05-25,43,68,78,88,4,107,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2018","05"
"174",204,12,2017-08-03,44,69,79,89,5,33,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2017","08"
"175",204,12,2017-08-03,44,69,79,89,5,33,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2017","08"
"176",1550,10,2017-11-26,45,70,80,90,5,47,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2017","11"
"177",854,11,2021-08-06,41,61,71,81,4,120,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2021","08"
"178",854,11,2021-08-06,41,61,71,81,4,120,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","08"
"179",960,19,2017-03-09,42,62,72,82,4,63,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2017","03"
"180",1941,12,2019-04-15,43,63,73,83,1,78,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2019","04"
"181",1941,12,2019-04-15,43,63,73,83,1,78,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2019","04"
"182",1121,8,2019-05-16,44,64,74,84,3,51,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2019","05"
"183",1121,8,2019-05-16,44,64,74,84,3,51,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2019","05"
"184",1114,20,2021-08-23,45,65,75,85,4,33,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2021","08"
"185",234,2,2020-01-24,41,66,76,86,4,104,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2020","01"
"186",1502,11,2017-10-25,42,67,77,87,3,75,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2017","10"
"187",1502,11,2017-10-25,42,67,77,87,3,75,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2017","10"
"188",986,6,2021-01-05,43,68,78,88,1,104,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2021","01"
"189",986,6,2021-01-05,43,68,78,88,1,104,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2021","01"
"190",1294,12,2017-10-31,44,69,79,89,5,105,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2017","10"
"191",1294,12,2017-10-31,44,69,79,89,5,105,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2017","10"
"192",543,10,2017-08-15,45,70,80,90,5,118,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2017","08"
"193",1962,11,2018-12-31,41,61,71,81,4,53,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2018","12"
"194",1962,11,2018-12-31,41,61,71,81,4,53,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2018","12"
"195",189,19,2020-04-09,42,62,72,82,2,98,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2020","04"
"196",817,12,2017-01-04,43,63,73,83,3,70,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2017","01"
"197",817,12,2017-01-04,43,63,73,83,3,70,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2017","01"
"198",1199,8,2019-03-30,44,64,74,84,4,111,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2019","03"
"199",1199,8,2019-03-30,44,64,74,84,4,111,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2019","03"
"200",1988,20,2020-08-20,45,65,75,85,1,37,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2020","08"
"201",936,2,2021-03-11,41,66,76,86,2,86,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2021","03"
"202",1770,11,2021-02-13,42,67,77,87,3,47,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2021","02"
"203",1770,11,2021-02-13,42,67,77,87,3,47,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2021","02"
"204",1015,6,2018-06-06,43,68,78,88,3,51,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2018","06"
"205",1015,6,2018-06-06,43,68,78,88,3,51,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2018","06"
"206",585,12,2019-04-06,44,69,79,89,5,83,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2019","04"
"207",585,12,2019-04-06,44,69,79,89,5,83,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2019","04"
"208",1489,10,2019-09-30,45,70,80,90,3,61,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2019","09"
"209",850,11,2017-05-07,41,61,71,81,4,87,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2017","05"
"210",850,11,2017-05-07,41,61,71,81,4,87,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2017","05"
"211",1187,19,2018-07-31,42,62,72,82,3,71,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2018","07"
"212",1320,12,2019-08-09,43,63,73,83,3,56,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2019","08"
"213",1320,12,2019-08-09,43,63,73,83,3,56,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2019","08"
"214",947,8,2020-03-10,44,64,74,84,4,41,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2020","03"
"215",947,8,2020-03-10,44,64,74,84,4,41,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2020","03"
